2015-03-12 19:13:07,897 - id: 6828
date | 2015-03-13 14:10:38,353 | id| 6834
date | 2015-03-13 14:10:47,253 | id| 6834
date | 2015-03-13 18:27:56,038 | id | 6828 | fromRecommendation | false
date | 2015-03-13 18:28:42,144 | id | 6834 | fromRecommendation | false
date | 2015-03-13 18:35:25,793 | id | 6834 | fromRecommendation | false
date | 2015-03-13 18:35:27,695 | id | 6835 | fromRecommendation | false
date | 2015-03-13 18:38:14,816 | id | 6888 | fromRecommendation | false
date | 2015-03-13 18:38:34,093 | id | 6889 | fromRecommendation | false
date | 2015-03-13 19:35:09,059 | id | 6901 | fromRecommendation | false
date | 2015-03-13 19:35:10,331 | id | 6890 | fromRecommendation | false
date | 2015-03-13 19:35:11,213 | id | 6895 | fromRecommendation | false
date | 2015-03-13 19:35:13,111 | id | 6826 | fromRecommendation | false
date | 2015-03-13 19:35:14,226 | id | 6896 | fromRecommendation | false
date | 2015-03-13 19:35:15,044 | id | 6901 | fromRecommendation | false
date | 2015-03-13 19:35:15,785 | id | 6890 | fromRecommendation | false
date | 2015-03-13 19:35:16,436 | id | 6895 | fromRecommendation | false
date | 2015-03-13 19:35:17,000 | id | 6826 | fromRecommendation | false
date | 2015-03-13 19:35:17,623 | id | 6896 | fromRecommendation | false
date | 2015-03-13 19:35:18,153 | id | 6901 | fromRecommendation | false
date | 2015-03-13 19:35:19,316 | id | 6896 | fromRecommendation | false
date | 2015-03-13 20:26:35,025 | id | 6859 | fromRecommendation | false
date | 2015-03-13 20:26:45,217 | id | 6901 | fromRecommendation | false
date | 2015-03-13 20:26:47,042 | id | 6902 | fromRecommendation | false
date | 2015-03-13 20:26:49,170 | id | 6863 | fromRecommendation | false
date | 2015-03-14 11:25:08,001 | id | 6828 | fromRecommendation | false
date | 2015-03-14 11:25:09,339 | id | 6834 | fromRecommendation | false
date | 2015-03-14 11:25:11,244 | id | 6835 | fromRecommendation | false
date | 2015-03-14 11:25:12,582 | id | 6888 | fromRecommendation | false
date | 2015-03-14 11:25:13,740 | id | 6889 | fromRecommendation | false
